Год,Направление,Уровень безработицы,Уровень инфляции,Вступительный балл,Пол,Образовательные специальные потребности,Предыдущее образование (оценка),Перемещенный,Возраст при зачислении,Международный статус,ВВП,Дневная/вечерняя форма обучения,Возраст группа,Возраст код
2022.0,0.0,10.8,1.4,127.0,1,0,122.0,1,20,0,1.74,1,21-25,1
2023.0,1.0,13.9,-0.3,142.0,1,0,160.0,1,19,0,0.79,1,16-20,0
2024.0,2.0,10.8,1.4,125.0,1,0,122.0,1,19,0,1.74,1,16-20,0
2022.0,3.0,9.4,-0.8,120.0,0,0,122.0,1,20,0,-3.12,1,21-25,1
2022.0,6.0,15.5,2.8,128.0,0,0,142.0,1,18,0,-4.06,1,16-20,0
2023.0,1.0,15.5,2.8,113.0,1,0,119.0,1,22,0,-4.06,1,21-25,1
2024.0,7.0,16.2,0.3,129.0,0,0,137.0,0,21,1,-0.92,1,21-25,1
2022.0,7.0,8.9,1.4,123.0,0,0,138.0,1,18,0,3.51,1,16-20,0
2023.0,8.0,13.9,-0.3,131.0,0,0,139.0,1,18,0,0.79,1,16-20,0
2024.0,6.0,12.7,3.7,119.0,0,0,136.0,1,18,0,-1.7,1,16-20,0
2022.0,9.0,12.7,3.7,130.0,0,0,133.0,1,19,0,-1.7,1,16-20,0
2023.0,1.0,8.9,1.4,112.0,0,0,110.0,1,21,0,3.51,1,21-25,1
2024.0,10.0,10.8,1.4,137.0,0,0,149.0,1,18,0,1.74,1,16-20,0
2022.0,3.0,15.5,2.8,121.0,0,0,127.0,1,20,0,-4.06,1,21-25,1
2023.0,7.0,10.8,1.4,137.0,0,0,137.0,1,18,0,1.74,1,16-20,0
2024.0,6.0,15.5,2.8,127.0,0,0,135.0,1,18,0,-4.06,1,16-20,0
2022.0,11.0,10.8,1.4,136.0,0,0,137.0,1,20,0,1.74,1,21-25,1
2023.0,9.0,16.2,0.3,125.0,0,0,140.0,1,18,0,-0.92,1,16-20,0
2024.0,0.0,11.1,0.6,120.0,0,0,122.0,0,21,0,2.02,1,21-25,1
2022.0,12.0,12.7,3.7,122.0,0,0,127.0,1,20,0,-1.7,1,21-25,1
2023.0,6.0,12.7,3.7,126.0,0,0,142.0,1,18,0,-1.7,1,16-20,0
2024.0,8.0,11.1,0.6,115.0,0,0,125.0,1,19,0,2.02,1,16-20,0
2022.0,6.0,11.1,0.6,124.0,0,0,126.0,0,19,0,2.02,1,16-20,0
2023.0,7.0,7.6,2.6,157.0,0,0,151.0,1,18,0,0.32,1,16-20,0
2024.0,7.0,16.2,0.3,116.0,0,0,115.0,1,21,0,-0.92,1,21-25,1
2022.0,10.0,9.4,-0.8,131.0,0,0,138.0,1,18,0,-3.12,1,16-20,0
2023.0,13.0,16.2,0.3,122.0,0,0,135.0,1,20,0,-0.92,1,21-25,1
2024.0,6.0,16.2,0.3,119.0,1,0,127.0,1,19,0,-0.92,1,16-20,0
2022.0,14.0,16.2,0.3,150.0,1,0,150.0,0,21,0,-0.92,1,21-25,1
2023.0,2.0,8.9,1.4,130.0,1,0,125.0,1,20,0,3.51,1,21-25,1
