Режим подачи заявки,Порядок подачи заявки,Направление,Дневная/вечерняя форма обучения,Предыдущее образование,Предыдущее образование (оценка),Вступительный балл,Перемещенный,Образовательные специальные потребности,Пол,Возраст при зачислении,Получатель стипендии,Международный статус,Уровень безработицы,Уровень инфляции,ВВП
17,5,171,1,1,122.0,127.3,1,0,1,20,0,0,10.8,1.4,1.74
15,1,9254,1,1,160.0,142.5,1,0,1,19,0,0,13.9,-0.3,0.79
1,5,9070,1,1,122.0,124.8,1,0,1,19,0,0,10.8,1.4,1.74
17,2,9773,1,1,122.0,119.6,1,0,0,20,0,0,9.4,-0.8,-3.12
39,1,8014,0,1,100.0,141.5,0,0,0,45,0,0,13.9,-0.3,0.79
39,1,9991,0,19,133.1,114.8,0,0,1,50,0,0,16.2,0.3,-0.92
1,1,9500,1,1,142.0,128.4,1,0,0,18,1,0,15.5,2.8,-4.06
18,4,9254,1,1,119.0,113.1,1,0,1,22,0,0,15.5,2.8,-4.06
1,3,9238,1,1,137.0,129.3,0,0,0,21,1,1,16.2,0.3,-0.92
1,1,9238,1,1,138.0,123.0,1,0,0,18,0,0,8.9,1.4,3.51
1,1,9670,1,1,139.0,130.6,1,0,0,18,0,0,13.9,-0.3,0.79
1,1,9500,1,1,136.0,119.3,1,0,0,18,1,0,12.7,3.7,-1.7
1,2,9853,1,1,133.0,130.2,1,0,0,19,0,0,12.7,3.7,-1.7
53,1,9254,1,42,110.0,111.8,1,0,0,21,1,0,8.9,1.4,3.51
1,1,9085,1,1,149.0,137.1,1,0,0,18,1,0,10.8,1.4,1.74
1,1,9773,1,1,127.0,120.7,1,0,0,20,0,0,15.5,2.8,-4.06
18,1,9238,1,1,137.0,137.4,1,0,0,18,0,0,10.8,1.4,1.74
17,2,9500,1,1,135.0,127.3,1,0,0,18,0,0,15.5,2.8,-4.06
1,1,9130,1,1,137.0,136.3,1,0,0,20,0,0,10.8,1.4,1.74
1,1,9853,1,1,140.0,124.6,1,0,0,18,0,0,16.2,0.3,-0.92
1,3,171,1,1,122.0,120.3,0,0,0,21,1,0,11.1,0.6,2.02
18,4,9556,1,1,127.0,121.8,1,0,0,20,0,0,12.7,3.7,-1.7
1,4,9500,1,1,142.0,125.5,1,0,0,18,0,0,12.7,3.7,-1.7
1,4,9670,1,1,125.0,114.9,1,0,0,19,1,0,11.1,0.6,2.02
1,1,9500,1,1,126.0,123.9,0,0,0,19,0,0,11.1,0.6,2.02
1,1,9238,1,1,151.0,157.0,1,0,0,18,1,0,7.6,2.6,0.32
17,2,9238,1,1,115.0,116.4,1,0,0,21,0,0,16.2,0.3,-0.92
1,1,9085,1,1,138.0,131.0,1,0,0,18,0,0,9.4,-0.8,-3.12
1,1,9147,1,1,135.0,122.1,1,0,0,20,0,0,16.2,0.3,-0.92
17,2,9500,1,1,127.0,118.8,1,0,1,19,0,0,16.2,0.3,-0.92
44,1,9003,1,39,150.0,150.0,0,0,1,21,0,0,16.2,0.3,-0.92
51,1,9070,1,1,125.0,130.0,1,0,1,20,0,0,8.9,1.4,3.51
1,1,9147,1,1,143.0,138.8,0,0,1,18,0,0,8.9,1.4,3.51
18,1,8014,0,1,138.0,134.5,1,0,0,19,0,0,12.4,0.5,1.79
1,1,9991,0,1,130.0,131.4,0,0,1,34,0,0,13.9,-0.3,0.79
39,1,33,1,1,130.0,102.5,0,0,1,37,0,0,8.9,1.4,3.51
39,1,9119,1,10,133.1,128.8,1,0,1,43,0,0,7.6,2.6,0.32
43,1,9147,1,1,140.0,122.9,0,0,0,55,0,0,16.2,0.3,-0.92
39,1,9991,0,1,120.0,113.9,1,0,0,39,0,0,7.6,2.6,0.32
44,1,9130,1,39,120.0,120.0,0,0,0,20,0,1,12.4,0.5,1.79
1,5,9773,1,1,126.0,121.1,0,0,0,18,0,0,12.7,3.7,-1.7
1,2,9147,1,1,133.0,120.4,1,0,0,22,0,0,8.9,1.4,3.51
1,6,9500,1,1,103.0,100.6,1,1,0,22,0,0,11.1,0.6,2.02
17,1,9773,1,1,120.0,121.4,0,0,0,20,0,0,12.4,0.5,1.79
39,1,9991,0,1,133.1,109.7,0,0,0,29,0,0,16.2,0.3,-0.92
17,1,9991,0,1,154.0,134.1,0,0,0,24,0,0,7.6,2.6,0.32
17,2,9238,1,1,130.0,127.6,1,0,0,18,0,0,11.1,0.6,2.02
17,6,9500,1,1,132.0,132.4,1,0,0,22,1,0,11.1,0.6,2.02
